Country,Launch Site,Vehicle,"[30.972 S, 136.475 E]"
,"LC 39B: (Saturn 5, 1969, Saturn 1B, 1973-75, ",,
,"          Shuttle, 1986-2006, Ares 1X, 2010)",,
"Vandenberg AFB, CA (V)",SLC 2W: (Delta 2) ,,"[34.756 N, 120.622 W]"
,SLC 3E: (Refurbished 1999 for Atlas 2A(S)),,
,          rebuilt for Atlas 5 2007- ),,"[34.640 N, 120.590 W]"
,SLC 4E:  (PA LC2-4) Atlas-Agena 1964-1966,,
,         Titan 3D/34D/4(B) 1966-2005,,
,,,"[34.632 N, 120.611 W]"
,SLC 6: (Delta 4 first launch 2006) ,,"[34.582 N, 120.626 W]"
,"SLC 8: (Was CLF, adjacent SLC-6) ",,"[34.576 N, 120.632 W]"
,"        (Orbital Minotaur, Minotaur 4)",,
,SLC 576E: (Orbital Sciences Taurus) ,,"[34.739 N, 120.619 W]"
"Wallops Island, Virginia","Launch Area 0-A: (Conestoga, 1995) ",,
"Wallops Island, Virginia","Launch Area 0-B: (Minotaur, 2006-) ",,
"Wallops Island, Virginia","Launch Area 0-B: (Minotaur, 2006-) ",,
"Wallops Island, Virginia",Wallops Flight Facility (NASA),,
"Wallops Island, Virginia","Launch Area 3: (Scout, 1960-1985) ",,
"Kwajalein Atoll, Marshall Is. (KW)","Pegasus XL, staged from Kwajalein Runway ",,
"Kwajalein Atoll, Marshall Is. (KW)","SpaceX Falcon 1 Pad, Omelek Is. ",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
 ,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,  ,
